chainId,dexId,baseToken-symbol,quoteToken-symbol,priceUsd,priceNative,liquidity-usd,liquidity-base,liquidity-quote,fdv
ethereum,uniswap,USDD,USDC,0.9931,0.9931,10898691,7283597,3664908,123297153.67
ethereum,uniswap,DAI,USDC,1.00,1.0000,234994794,100664087,134327601,5103510208.14
ethereum,sushiswap,WETH,USDC,1667.61,1667.6135,45422702,13619,22711351,6541449193.87
ethereum,0x5F1dddbf348aC2fbe22a163e30F99F9ECE3DD50a,wstETH,USDC,1844.50,1844.5098,14740089,2377,10355221,2071102225.7
ethereum,uniswap,WBTC,USDC,23377.88,23377.8836,1717587,19.02,1272816,4129634655.07
ethereum,uniswap,FRAX,USDC,0.9995,0.9995,3671834,1616893,2055707,1022908390.58
ethereum,balancer,DAI,USDC,0.9999,0.9999,1707672,837817,869874,5095270680.7
ethereum,balancer,USDC,USDT,0.9998,0.9998,1574985,869874,705274,38877345456.53
ethereum,uniswap,USDC,USDT,0.9995,0.9995,10940973,6776573,4167493,38905629150.42
ethereum,uniswap,BUSD,USDC,0.9999,0.9999,2393362,1367607,1025857,16271058710.38
ethereum,uniswap,ASTO,USDC,0.07162,0.07162,5258481,36706023,2629240,170765131.72
ethereum,uniswap,FLEX,USDC,1.53,1.5331,238314,77718,119157,69818631.73
ethereum,sushiswap,SYN,USDC,1.18,1.1887,2047274,861126,1023637,168468430.42
ethereum,uniswap,WBTC,USDC,23347.31,23347.3174,26236884,583.9,12602363,4124235220.46
ethereum,uniswap,ALI,USDC,0.04191,0.04191,1052815,12558409,526408,419167423.1
ethereum,uniswap,WEMIX,USDC,1.50,1.5087,3063338,1374855,989048,2332772.54
ethereum,0x818339b4E536E707f14980219037c5046b049dD4,USDC,USDT,0.2465,0.2465,61157,124009,30578,9597800146.17
ethereum,uniswap,HDRN,USDC,0.000002336,0.000002336,1251583,271458874508,617449,269049272.19
ethereum,uniswap,TSUKA,USDC,0.08565,0.08565,2087114,12183692,1043557,85641623.79
ethereum,uniswap,1INCH,USDC,0.6044,0.6044,9611771,8272686,4611127,906714656.51
ethereum,uniswap,XMON,USDC,19248.48,19248.4806,2179549,70.55,821478,192484806.52
ethereum,uniswap,OPUL,USDC,0.2321,0.2321,611284,1316302,305642,116064152.97
ethereum,shibaswap,WETH,USDC,1666.77,1666.7734,584425,175.3,292213,6538153955.32
ethereum,uniswap,USDC,USDT,0.9998,0.9998,60523328,35932469,24597014,38916729174.91
ethereum,uniswap,WETH,USDT,1666.82,1666.8296,26327446,6633,15270630,6538374461.44
ethereum,uniswap,WETH,USDT,1668.19,1668.1994,74899137,23285,36055280,6543747476.24
ethereum,uniswap,WETH,USDT,1669.30,1669.3027,35701540,10694,17850770,6548075520.15
ethereum,uniswap,USDD,USDT,0.9929,0.9929,3986722,2685847,1319814,123270825.24
ethereum,sushiswap,EFI,USDT,0.1239,0.1239,1584059,11.18,1584058,247831077.06
ethereum,sushiswap,WETH,USDT,1668.14,1668.1442,19941410,5977,9970705,6543531083.81
ethereum,balancer,USDC,USDT,0.9998,0.9998,1574985,869874,705274,38877345456.53
ethereum,uniswap,USDC,USDT,0.9995,0.9995,10940973,6776573,4167493,38905629150.42
ethereum,0x818339b4E536E707f14980219037c5046b049dD4,USDC,USDT,0.2465,0.2465,61157,124009,30578,9597800146.17
ethereum,uniswap,DAI,USDT,0.9998,0.9998,3102601,1678765,1424123,5102479424.46
ethereum,shibaswap,WETH,USDT,1659.42,1659.4298,529331,159.4,264666,6509347520.64
ethereum,uniswap,TT,USDT,0.05079,0.05079,343229,3378837,171614,5079094.41
ethereum,uniswap,RACA,USDT,0.0002782,0.0002782,1621851,2914847145,810925,43008123.95
ethereum,uniswap,AGIX,USDT,0.3622,0.3622,311352,429784,155676,402083449.28
ethereum,uniswap,FRAX,USDT,0.9992,0.9992,7399161,5502661,1900660,1022619485.49
ethereum,uniswap,SAITO,USDT,0.01612,0.01612,538608,21599306,190417,48361430.76
ethereum,uniswap,SNP,USDT,63.99,63.9966,880642,6880,440321,90295611.48
ethereum,0x818339b4E536E707f14980219037c5046b049dD4,DAI,USDT,0.4379,0.4379,23931,27323,11965,2234914841.2
ethereum,uniswap,EFI,USDT,0.1184,0.1184,71,123.1,56.71,236841322.51
ethereum,uniswap,DUSK,USDT,0.1781,0.1781,290873,1152270,85596,89075037.64
ethereum,0x5F1dddbf348aC2fbe22a163e30F99F9ECE3DD50a,USDC,USDT,0.9998,0.9998,16342096,12688590,3655211,38918167273.9
ethereum,uniswap,DOGE,USDT,0.09578,0.09578,2516132,13134057,1258066,2591555.47
ethereum,uniswap,USDC,USDT,1.00,1.0005000,10079031,5036718,5039515,38945018527.37
ethereum,uniswap,BUSD,USDT,0.9995,0.9995,384810,253924,130990,16265542479.33
ethereum,solidlycom,FRAX,USDT,0.9992,0.9992,2923209,1561188,1363147,1022655266.21
ethereum,uniswap,RELAY,USDT,1.56,1.5605,8357,2465,4508,13832882.21
ethereum,uniswap,FX,USDT,0.2008,0.2008,536958,1305565,274752,20702597.96
ethereum,uniswap,CHZ,USDT,0.1459,0.1459,1629580,6205926,723759,1287881517.82
ethereum,uniswap,DAI,USDT,0.9999,0.9999,337222,226100,111140,5102949713.38
ethereum,uniswap,SHIB,WETH,0.00001519,0.000000009102,3049825,60478827657,1276,15194765875.34
ethereum,shibaswap,SHIB,WETH,0.00001522,0.000000009116,7895692,259384016465,2364,15219317287.16
ethereum,shibaswap,SHIB,BONE,0.00001516,0.000008134,5248815,173014917158,1407442,15167915326.79
ethereum,uniswap,SHIB,WETH,0.00001521,0.000000009116,1563546,51365080094,468.3,15218657711.78
ethereum,uniswap,SHIB,WETH,0.00001516,0.000000009084,1534602,40953037059,547.4,15160178238.97
ethereum,uniswap,SHIB0.5,SHIB,4.45,292665.3471,156830,17604,5152060260,4416348.89
ethereum,shibaswap,LEASH,SHIB,525.72,34485027.2368,2072438,1971,67971214120,56551498.51
ethereum,uniswap,SHIB,BONE,0.00001509,0.000008115,115052,6660525272,7793,15096146681.84
ethereum,shibaswap,SHIB,USDC,0.00001519,0.00001519,253152,8330959504,126576,15192685184.42
ethereum,shibaswap,SHIB,ELON,0.00001499,34.3423,93572,3119879221,107143958522,14995375300.44
ethereum,shibaswap,SHIB,USDT,0.00001513,0.00001513,86583,2859838180,43291,15136965345.4
ethereum,uniswap,SHIB,WETH,0.00001524,0.000000009133,10837,117282673,5.422,15241608959.6
ethereum,safemoonswap,SHIB,WETH,0.00001524,0.000000009137,79115,2594359836,23.7,15246647833.66
ethereum,shibaswap,SHIB,MATIC,0.00001512,0.00001212,97370,3218438108,39010,15126200674.82
ethereum,sushiswap,SHIB,WETH,0.00001530,0.000000009172,3253,106273467,0.9747,15305466927.07
ethereum,uniswap,SHIB,USDC,0.00001503,0.00001503,6021,189087488,3178,15033444626.5
ethereum,uniswap,SHIB,USDT,0.00001520,0.00001520,11831,389162833,5915,15200090389.83
ethereum,uniswap,SOTU,SHIB,947309.89,62830623609.02180,56845,0.03,1885146156,947309.89
ethereum,uniswap,SHIB,BONE,0.00001509,0.000007815,5228,1070441,2697,15098468309.64
ethereum,solidlycom,SHIB,WETH,0.00001485,0.000000008855,20222,680829160,6.029,14849997527.84
ethereum,shibaswap,UFO,SHIB,0.000002011,0.1341,16068,3994806192,535963872,103602554.81
ethereum,shibaswap,METH,SHIB,0.06152,4102.1792,1095,8898,36501191,2498291.67
ethereum,shibaswap,SHIB,LINK,0.00001528,0.000002117,8168,267149459,565.7,15285906475.63
ethereum,uniswap,SHIB,USDT,0.00001558,0.00001558,2482,71873899,1361,15586604010.15
ethereum,shibaswap,MM,SHIB,2.35,154550.9666,22306,4736,732078622,2354573.16
ethereum,uniswap,HEX,SHIB,0.03830,2594.4247,1556,20306,52682695,22265512884.99
ethereum,uniswap,SHIB,STATE,0.00001417,692.4215,3321,117174786,81134346426,14170414062.42
ethereum,uniswap,LEASH,SHIB,558.61,36826011.6549,4538,4.061,149583561,60089585.68
ethereum,shibaswap,SAITAMA,SHIB,0.002509,178.2544,4468,890466,158729551,111878924.53
ethereum,uniswap,VVV,SHIB,0.4126,27320.7962,2782,3370,92093119,201052.07
ethereum,uniswap,WETH,DAI,1668.53,1668.5362,7963495,1736,5066659,6545068622.59
ethereum,uniswap,DAI,USDC,1.00,1.0000,234994794,100664087,134327601,5103510208.14
ethereum,balancer,DAI,USDC,0.9999,0.9999,1707672,837817,869874,5095270680.7
ethereum,uniswap,WETH,DAI,1668.40,1668.4066,23808627,4337,16571168,6544560396.6
ethereum,uniswap,DAI,USDT,0.9998,0.9998,3102601,1678765,1424123,5102479424.46
ethereum,uniswap,DAI,USDC,1.00,1.0002000,201667037,112303997,89330726,5104821178.75
ethereum,uniswap,WETH,DAI,1671.66,1671.6659,15093683,4514,7546842,6557345419.85
ethereum,0x818339b4E536E707f14980219037c5046b049dD4,DAI,USDT,0.4379,0.4379,23931,27323,11965,2234914841.2
ethereum,balancer,WETH,DAI,1670.040,1670.04690,1176686,422.7,470675,6537605540.63
ethereum,uniswap,SPOOL,DAI,0.2667,0.2667,916622,1718175,458311,56016000.79
ethereum,uniswap,O,DAI,0.00003207,0.00003207,3985180,62120556153,1992590,11847945.58
ethereum,sushiswap,WETH,DAI,1667.66,1667.6631,7665440,2298,3832720,6541643987.44
ethereum,uniswap,DAI,USDC,1.00,1.001000,35701529,17831584,17850765,5108842307.29
ethereum,uniswap,DAI,USDT,0.9999,0.9999,337222,226100,111140,5102949713.38
ethereum,balancer,OHM,DAI,10.090,10.09590,31335152,1551872,15667576,292031146.93
ethereum,uniswap,FUSE,DAI,0.09869,0.09869,7275,1952,7082,32291533.7
ethereum,uniswap,FUN,DAI,0.007202,0.007202,637397,34277833,390528,78696402.41
ethereum,uniswap,RAI,DAI,2.77,2.7724,2406812,359554,1409953,7828396.9
ethereum,uniswap,Z3,DAI,0.2920,0.2920,88311,151199,44155,650529.5
ethereum,uniswap,BUSD,DAI,0.9995,0.9995,75194,37960,37251,16264805455.12
ethereum,uniswap,GLM,DAI,0.2794,0.2794,146238,261688,73119,204497483.52
ethereum,uniswap,DAI,USDT,1.00,1.0006000,6822172,3408967,3411086,5106525184.81
ethereum,uniswap,FRAX,DAI,0.9995,0.9995,21346475,11566193,9785193,1022958635.45
ethereum,uniswap,HEX,DAI,0.04560,0.04560,239,2238,137,26507237615.54
ethereum,uniswap,CoreDAO,DAI,1.080,1.08960,25856,9129,15908,26490585.46
ethereum,uniswap,DEC,DAI,0.0007417,0.0007417,404551,272699854,202276,593401.83
ethereum,uniswap,DIGITS,DAI,0.01466,0.01466,1024752,34928978,512376,11599391.06
ethereum,uniswap,HOPR,DAI,0.06118,0.06118,6895001,78742152,2077262,19665980.57
ethereum,uniswap,HEZ,DAI,4.38,4.3872,1275460,145358,637730,220232089.46
ethereum,uniswap,WETH,DAI,1671.35,1671.3580,852113,186.4,540489,6556137572.95
ethereum,uniswap,WBTC,WETH,23399.63,14.01690,131951588,4233,19706,4133477596.97
ethereum,uniswap,WBTC,WETH,23371.030,13.9998,206328491,3837,69875,4128424359.69
ethereum,uniswap,WBTC,USDC,23377.88,23377.8836,1717587,19.02,1272816,4129634655.07
ethereum,uniswap,WBTC,USDC,23347.31,23347.3174,26236884,583.9,12602363,4124235220.46
ethereum,uniswap,BADGER,WBTC,3.31,0.0001417,6134714,1054744,112.9,69574162.6
ethereum,uniswap,XTP,WBTC,0.01657,0.0000007094,671710,14502239,18.45,165083366.18
ethereum,uniswap,FUN,WBTC,0.007171,0.0000003078,4821787,550309440,37.57,78361253.44
ethereum,balancer,WBTC,BADGER,23317.33,7087.2686,9710014,83.28,2361075,4118939438.6
ethereum,uniswap,LQTY,WBTC,0.7024,0.00002991,2361254,392265,88.83,70245004.86
ethereum,sushiswap,WBTC,WETH,23385.00,14.004900,19507195,417,5841,4130893443.55
ethereum,uniswap,WBTC,USDT,23444.80,23444.8082,3146820,93.38,957314,4141456697.1
ethereum,uniswap,WBTC,WETH,23401.60,14.02310,9091830,194.2,2724,4133825050.47
ethereum,sushiswap,BADGER,WBTC,3.30,0.0001413,959069,145126,20.52,69389449.04
ethereum,pancakeswap,WBTC,WETH,23284.47,13.9989,5741396,123.2,1725,4113134441.04
ethereum,uniswap,WBTC,WETH,23635.26,14.03940,631351,8.956,249.2,4175100757.01
ethereum,uniswap,AUSD,WBTC,0.1167,0.000004995,448179,2690762,5.736,11674550.2
ethereum,balancer,WBTC,WETH,23227.98,13.9835,2564300,55.19,771.8,4103156092.07
ethereum,uniswap,XSGD,WBTC,0.7564,0.00003251,2070506,1377094,44.23,36625586.3
ethereum,uniswap,BADGER,WBTC,3.30,0.0001413,765011,115925,16.34,69383305.82
ethereum,uniswap,ICHI,WBTC,4.48,0.0001927,347490,28924,9.37,32464912.9
ethereum,uniswap,UNI,WBTC,7.27,0.0003116,129762,9934,2.462,7274926730.97
